time,siteID,gcc_90,gcc_sd
2016-12-13,HARV,0.32901,1.7418335284452208e-4
2016-12-14,HARV,0.32811,1.1128246098308361e-4
2016-12-15,HARV,0.32955,5.576245009696456e-4
2016-12-16,HARV,0.32874,4.0076929288862246e-4
2016-12-17,HARV,0.33152,4.0757074057324997e-4
2016-12-18,HARV,0.33194,2.653391637823849e-4
2016-12-19,HARV,0.32941,3.544037245853993e-4
2016-12-20,HARV,0.3296,3.961582635714181e-4
2016-12-21,HARV,0.32933,4.511806118283434e-4
2016-12-22,HARV,0.32927,8.251233673994287e-4
2016-12-23,HARV,0.32933,3.875412836467924e-4
2016-12-24,HARV,0.32995,1.7043088730315102e-4
2016-12-25,HARV,0.32969,6.265648504638178e-4
2016-12-26,HARV,0.33023,4.576013129708584e-4
2016-12-27,HARV,0.33142,4.3631093808645436e-4
2016-12-28,HARV,0.32951,1.91911012541487e-4
2016-12-29,HARV,0.33074,4.025237222062545e-4
2016-12-30,HARV,0.32913,5.35705952316132e-4
2016-12-31,HARV,0.32985,4.3899031879985543e-4
2017-01-01,HARV,0.33002,7.082352673212158e-4
2017-01-02,HARV,0.32976,1.4457541637639336e-4
2017-01-03,HARV,0.3301,1.1446664249857486e-4
2017-01-04,HARV,0.33048,3.3343336084209135e-4
2017-01-05,HARV,0.32928,3.4729316263976275e-4
2017-01-06,HARV,0.32916,2.3559479655388185e-4
2017-01-07,HARV,0.32927,7.173903955252214e-5
2017-01-08,HARV,0.32865,6.119782575836408e-4
2017-01-09,HARV,0.32841,1.7051516301000774e-4
2017-01-10,HARV,0.32982,1.0121034068326936e-4
2017-01-11,HARV,0.32971,3.811492289036939e-4
2017-01-12,HARV,0.33217,1.830232504467201e-4
2017-01-13,HARV,0.32894,2.2261833725376477e-4
2017-01-14,HARV,0.3283,1.1134523623691176e-4
2017-01-15,HARV,0.32855,0.0012287338291335319
2017-01-16,HARV,0.32831,2.9147587571263513e-4
2017-01-17,HARV,0.3283,3.3522653686784986e-4
2017-01-18,HARV,0.32792,3.04167526343018e-4
2017-01-19,HARV,0.33022,4.3574772705392065e-4
2017-01-20,HARV,0.32969,8.38266043200895e-5
2017-01-21,HARV,NA,NA
2017-01-22,HARV,NA,NA
2017-01-23,HARV,NA,NA
2017-01-24,HARV,NA,NA
2017-01-25,HARV,NA,NA
2017-01-26,HARV,NA,NA
2017-01-27,HARV,NA,NA
2017-01-28,HARV,NA,NA
2017-01-29,HARV,NA,NA
2017-01-30,HARV,0.32939,4.850334593970832e-4
2017-01-31,HARV,0.3284,1.7253523272252777e-4
2017-02-01,HARV,0.32916,3.0575537507581573e-4
2017-02-02,HARV,0.32875,4.722420686772467e-4
2017-02-03,HARV,0.32894,2.1449197311464198e-4
2017-02-04,HARV,0.32869,2.471510023430651e-4
2017-02-05,HARV,0.32899,1.3232578226884145e-4
2017-02-06,HARV,0.32886,2.0677378351961827e-4
2017-02-07,HARV,NA,NA
2017-02-08,HARV,0.32956,1.2826489808841633e-4
2017-02-09,HARV,0.33285,3.712858517011703e-4
2017-02-10,HARV,0.32826,1.425940377148884e-4
2017-02-11,HARV,0.32894,6.758616269441918e-5
2017-02-12,HARV,0.33093,3.6151237029672387e-4
2017-02-13,HARV,0.32898,3.755903244716622e-4
2017-02-14,HARV,0.32874,1.6120224336313134e-4
2017-02-15,HARV,0.32988,2.113382046263645e-4
2017-02-16,HARV,0.32967,2.018939911772295e-4
2017-02-17,HARV,0.32883,1.7805066923863954e-4
2017-02-18,HARV,0.33036,2.041612008153617e-4
2017-02-19,HARV,0.33015,1.2055670187652427e-4
2017-02-20,HARV,0.32906,1.2948390491737506e-4
2017-02-21,HARV,0.32983,8.965352810704124e-5
2017-02-22,HARV,0.33018,2.1131213009793125e-4
2017-02-23,HARV,0.33006,1.7755942839580498e-4
2017-02-24,HARV,0.33048,1.0974571722386025e-4
2017-02-25,HARV,0.33012,1.764353798570652e-4
2017-02-26,HARV,0.32807,3.3725137478729956e-4
2017-02-27,HARV,0.32762,1.6064557134212715e-4
2017-02-28,HARV,0.32804,1.915973669453882e-4
2017-03-01,HARV,0.33012,4.4047177676038627e-4
2017-03-02,HARV,0.32729,1.717168480911713e-4
2017-03-03,HARV,0.32674,3.79148564926359e-4
2017-03-04,HARV,0.32654,2.7869914727870614e-4
2017-03-05,HARV,0.3271,2.0624725007443184e-4
2017-03-06,HARV,0.32736,2.5654605346998063e-4
2017-03-07,HARV,0.32838,1.8272638628533006e-4
2017-03-08,HARV,0.32791,1.7062956654575285e-4
2017-03-09,HARV,0.32758,3.5665658323847906e-4
2017-03-10,HARV,0.32775,1.215137247644173e-4
2017-03-11,HARV,0.32824,1.5720844864869663e-4
