time,siteID,gcc_90,gcc_sd
2016-12-13,HARV,0.32901,1.6725789569842507e-4
2016-12-14,HARV,0.32811,1.8497883386914995e-4
2016-12-15,HARV,0.32955,5.144966694325112e-4
2016-12-16,HARV,0.32874,3.3499154055721393e-4
2016-12-17,HARV,0.33152,4.249281024419261e-4
2016-12-18,HARV,0.33194,2.3528984817254786e-4
2016-12-19,HARV,0.32941,4.6456040225888374e-4
2016-12-20,HARV,0.3296,3.3799612121914455e-4
2016-12-21,HARV,0.32933,4.1140138799088035e-4
2016-12-22,HARV,0.32927,9.546806274394363e-4
2016-12-23,HARV,0.32933,4.244496696203405e-4
2016-12-24,HARV,0.32995,4.18457968045077e-4
2016-12-25,HARV,0.32969,4.2432722259681555e-4
2016-12-26,HARV,0.33023,3.8870228048873244e-4
2016-12-27,HARV,0.33142,5.755910981286169e-4
2016-12-28,HARV,0.32951,1.9808996101031455e-4
2016-12-29,HARV,0.33074,3.050409975791432e-4
2016-12-30,HARV,0.32913,5.700828439618126e-4
2016-12-31,HARV,0.32985,4.567110572297482e-4
2017-01-01,HARV,0.33002,9.531129502416615e-4
2017-01-02,HARV,0.32976,1.606523690253859e-4
2017-01-03,HARV,0.3301,1.0789871478872662e-4
2017-01-04,HARV,0.33048,3.2724079943724504e-4
2017-01-05,HARV,0.32928,3.647226511267201e-4
2017-01-06,HARV,0.32916,2.473231382096663e-4
2017-01-07,HARV,0.32927,9.317796227145504e-5
2017-01-08,HARV,0.32865,6.232397334141353e-4
2017-01-09,HARV,0.32841,1.7506771284744405e-4
2017-01-10,HARV,0.32982,1.0667651655201097e-4
2017-01-11,HARV,0.32971,3.65038843334317e-4
2017-01-12,HARV,0.33217,1.697098664648352e-4
2017-01-13,HARV,0.32894,2.604768123958791e-4
2017-01-14,HARV,0.3283,1.0833782387344892e-4
2017-01-15,HARV,0.32855,4.1007988470142745e-4
2017-01-16,HARV,0.32831,3.308049033518547e-4
2017-01-17,HARV,0.3283,3.4825596029006985e-4
2017-01-18,HARV,0.32792,3.090312024401901e-4
2017-01-19,HARV,0.33022,3.970983818878697e-4
2017-01-20,HARV,0.32969,7.834287798270211e-5
2017-01-21,HARV,NA,NA
2017-01-22,HARV,NA,NA
2017-01-23,HARV,NA,NA
2017-01-24,HARV,NA,NA
2017-01-25,HARV,NA,NA
2017-01-26,HARV,NA,NA
2017-01-27,HARV,NA,NA
2017-01-28,HARV,NA,NA
2017-01-29,HARV,NA,NA
2017-01-30,HARV,0.32939,4.875900017390853e-4
2017-01-31,HARV,0.3284,1.9166222414254436e-4
2017-02-01,HARV,0.32916,3.065580984986364e-4
2017-02-02,HARV,0.32875,4.022351835147415e-4
2017-02-03,HARV,0.32894,2.1151040887205087e-4
2017-02-04,HARV,0.32869,2.5615022696751425e-4
2017-02-05,HARV,0.32899,1.260276937495729e-4
2017-02-06,HARV,0.32886,1.755771543876301e-4
2017-02-07,HARV,NA,NA
2017-02-08,HARV,0.32956,9.122197416975098e-5
2017-02-09,HARV,0.33285,4.385599812372889e-4
2017-02-10,HARV,0.32826,1.7264376558657888e-4
2017-02-11,HARV,0.32894,7.378332591902679e-5
2017-02-12,HARV,0.33093,3.4318873488957353e-4
2017-02-13,HARV,0.32898,4.785735475432845e-4
2017-02-14,HARV,0.32874,6.772814806870274e-5
2017-02-15,HARV,0.32988,2.3157808221691925e-4
2017-02-16,HARV,0.32967,2.2525233016529975e-4
2017-02-17,HARV,0.32883,1.3531520269960236e-4
2017-02-18,HARV,0.33036,2.554407155949836e-4
2017-02-19,HARV,0.33015,1.2848187357263006e-4
2017-02-20,HARV,0.32906,8.457842635140855e-5
2017-02-21,HARV,0.32983,7.38824217584739e-5
2017-02-22,HARV,0.33018,2.502601299709058e-4
2017-02-23,HARV,0.33006,1.8075961712637375e-4
2017-02-24,HARV,0.33048,2.2662564654837231e-4
2017-02-25,HARV,0.33012,2.1198467792147142e-4
2017-02-26,HARV,0.32807,3.182344149477688e-4
2017-02-27,HARV,0.32762,1.9608987527069225e-4
2017-02-28,HARV,0.32804,1.6797339439472925e-4
2017-03-01,HARV,0.33012,4.3933813856755576e-4
2017-03-02,HARV,0.32729,2.3859336426101276e-4
2017-03-03,HARV,0.32674,3.504116855753481e-4
2017-03-04,HARV,0.32654,1.9227983009464215e-4
2017-03-05,HARV,0.3271,3.6040530698939853e-4
2017-03-06,HARV,0.32736,2.999004487887201e-4
2017-03-07,HARV,0.32838,1.9667813133884276e-4
2017-03-08,HARV,0.32791,1.7715023026129733e-4
2017-03-09,HARV,0.32758,3.514202670331247e-4
2017-03-10,HARV,0.32775,1.2636212297381929e-4
2017-03-11,HARV,0.32824,1.5778122802908933e-4
